Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
71,Second by White,2.610042194092827,0.828337552742616,0.0,1.0,0.7692489451476794,0.059088607594936705,0.03276371308016876,0.13889873417721518,1.0,0.6991495931112581,1.0,0
72,"Limited Retaliate 2: 0.08, 15",2.6087341772151893,0.6321645569620253,68.0,1.0,0.6075400843881856,0.024624472573839654,0.10448312236286922,0.26335232067510544,0.954664437693713,0,0.08073692010126056,0.06953016708781429
73,Inverse Punisher,2.6066772151898734,0.6319388185654008,72.5,1.0,0.6214704641350209,0.01046835443037973,0.0933438818565402,0.274717299578059,1.0,0,0.2161595678551943,0
74,Once Bitten,2.606455696202532,0.7815991561181435,39.5,1.0,0.7377679324894516,0.043831223628691955,0.043518987341772127,0.17488185654008434,1.0,0.7236005407481544,0.09182212261987976,0.054329719558518105
75,GrudgerAlternator,2.6051898734177215,0.7815949367088607,34.0,1.0,0.6371835443037974,0.14441139240506334,0.11868354430379745,0.0997215189873418,0.7898739734255401,0,1.0,1.0
76,Meta Majority: 215 players,2.604926160337553,0.7354852320675106,36.0,1.0,0.7037172995780591,0.03176793248945146,0.05689240506329116,0.20762236286919827,0.9990460715342334,0.02975354342870654,0.7637014390804094,0
77,Firm But Fair,2.604915611814347,0.8572974683544303,0.0,1.0,0.7419135021097045,0.11538396624472581,0.05895780590717304,0.08374472573839666,1.0,0,1.0,0.6693371227350497
78,Second by RichardHufford,2.6033333333333326,0.553915611814346,124.0,1.0,0.49018565400843844,0.06372995780590722,0.172016877637131,0.27406751054852335,0.8897469194038897,0.47296529898282363,0.7919936213997626,0.06094257606245927
79,Forgiver,2.6024472573839663,0.6277721518987341,71.5,1.0,0.6193270042194097,0.008445147679324881,0.09306329113924049,0.2791645569620251,1.0,0.6564121050272884,0.08258530949156606,0
80,"Limited Retaliate: 0.1, 20",2.602130801687763,0.6320084388185654,68.0,1.0,0.6103523206751054,0.021656118143459885,0.10033333333333337,0.2676582278481013,0.9872785060465719,0,0.08328078492073758,0.0486687247168815
81,Second by Yamachi,2.601255274261603,0.7893354430379746,22.5,1.0,0.7360147679324895,0.05332067510548525,0.04564978902953585,0.16501476793248945,0.9430916893490484,0.7294044573823306,0.6523245212259839,0.2242703855997057
82,Doubler,2.6007805907172994,0.8100021097046414,0.0,1.0,0.7424599156118142,0.06754219409282704,0.045957805907173,0.14404008438818564,1.0,0.6786005100204394,1.0,0
