Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
58,"Limited Retaliate 2: 0.08, 15",2.2524894514767926,0.4995084388185654,117.5,0.5,0.24988607594936715,0.24962236286919834,0.25120675105485235,0.2492848101265822,0.5002984357321734,0.49913293405004855,0.5000155010036765,0.4984543974827877
59,Retaliate: 0.1,2.2524578059071736,0.5006434599156118,117.5,0.479746835443038,0.2505801687763713,0.2500632911392405,0.2503016877637132,0.24905485232067515,0.499790035492798,0.5023755733043865,0.5002930936303003,0.5005240229118699
60,First by Joss: 0.9,2.252362869198312,0.5000527426160337,113.0,0.4978902953586498,0.24986919831223617,0.25018354430379763,0.25026582278481013,0.24968143459915615,0.5002726724080483,0.49687561920230905,0.5005397962738314,0.5026162505779472
61,Adaptive Pavlov 2011,2.2523101265822776,0.4997784810126582,116.5,0.4869198312236287,0.25044514767932496,0.24933333333333324,0.24988185654008446,0.2503396624472574,0.49728441817777264,0.503265861858858,0.5014712832256314,0.4976376315086639
62,Anti Tit For Tat,2.252194092827004,0.499415611814346,116.0,0.49831223628691984,0.2504177215189874,0.24899789029535854,0.2496645569620253,0.2509198312236288,0.500940177903885,0.498007113858832,0.49926282919432063,0.4993734296651712
63,Cautious QLearner,2.2521940928270032,0.4997278481012658,113.5,0.5092827004219409,0.25000843881856544,0.2497194092827004,0.2499177215189873,0.2503544303797469,0.4966881223112656,0.5008375069179261,0.49960269486738773,0.5014189790516218
64,Punisher,2.2520675105485237,0.5005654008438819,114.0,0.5092827004219409,0.25109915611814343,0.24946624472573836,0.24928902953586507,0.2501455696202531,0.5008081332155723,0.49980890613914575,0.5000840796421546,0.50149632001273
65,"Michaelos: (D,)",2.252056962025316,0.4991476793248945,115.0,0.4962025316455696,0.24955907172995792,0.2495886075949367,0.25061392405063276,0.25023839662447256,0.4961960085310319,0.5014737450251789,0.49857542457293164,0.5003776696046024
66,"First by Feld: 1.0, 0.5, 200",2.2519831223628692,0.49946413502109704,118.5,0.48438818565400843,0.24958860759493678,0.24987552742616026,0.25066455696202533,0.24987130801687765,0.4988600941269906,0.4992673719702144,0.4994569677326316,0.500474138518301
67,VeryBad,2.2519198312236286,0.500493670886076,115.0,0.5075949367088608,0.25104219409282696,0.24945147679324897,0.24996202531645578,0.24954430379746825,0.5013133576022492,0.5004575322874554,0.5021407996585993,0.4982142437569585
68,Raider,2.2518881856540087,0.4988987341772152,115.5,0.4780590717299578,0.24989873417721511,0.24900000000000008,0.25035443037974686,0.2507468354430379,0.5006549738756532,0.49837601732459985,0.49801972461458727,0.49882582932925545
69,Tit For Tat,2.251856540084388,0.4988481012658228,116.0,0.5059071729957806,0.24951054852320664,0.24933755274261601,0.2503860759493672,0.25076582278481013,0.4970800329886077,0.5001741898397786,0.4981695050254017,0.49958847264627865
